what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1329507765676
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329507766754
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329507774397
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329507777826
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329507779901
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1329507780710
executed,command,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.actions.LifeCycleInstall.run",1329507783756
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329507788386
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329507791763
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329507800138
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329507816105
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329507816133
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329507821671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329507827772
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329507901542
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329507909305
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329507911679
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329507916040
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329507917342
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1329507924891
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1329507925005
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329507926608
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1329507926609
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329507929789
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329507934452
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329507953935
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329507960916
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329507965048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329507980230
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329508037941
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329508052116
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329508246661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329508271947
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329508430940
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329508432330
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329508434645
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329508436549
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1329508441409
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329508441427
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329508448190
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329508464219
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1329508467155
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1329508468234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329508469198
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329508470041
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329508472775
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1329508474326
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329508475270
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329508476650
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1329508479752
executed,command,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.actions.LifeCycleInstall.run",1329508481865
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329508491612
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329508492672
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329508499980
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329508561696
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329508563118
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329509483101
opened,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1329509485757
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1329509485878
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1329509493413
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329509494834
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329509538884
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1329509539799
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1329509540086
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329509541641
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329510668419
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329510671884
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329511629988
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1329511631183
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.collapseAll",1329511631293
executed,command,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.actions.LifeCycleClean.run",1329511634868
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329511641550
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1329511645173
executed,command,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.actions.LifeCycleInstall.run",1329511647396
executed,command,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.actions.LifeCycleClean.run",1329511657879
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329511661439
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329512133151
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329512134228
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329512889651
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1329512891262
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1329512892171
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329512892171
